Alkon hinnasto 19.11.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
915083;Ecologica Reserve Organic Shiraz Malbec 2019;La Riojana;0,75 l;10.48;13.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2019;Famatina Valley;Reilu kauppa;Shiraz, Malbec, ;Täyteläinen, keskitanniininen, kirsikkainen, herukkainen, karhunvatukkahilloinen;pullo;metallinen kierrekapseli;13.0;5.2;4;;;;80.0;tilausvalikoima;7790265620145
906458;Fair & Square Red 2022 kartonkitölkki;La Riojana;1 l;10.68;10.68;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2022;Famatina Valley;Reilu kauppa;Syrah, ;Täyteläinen, keskitanniininen, boysenmarjainen, mustaherukkainen, tumman kirsikkainen, kevyen vaniljainen, hennon toffeinen;kartonkitölkki;muovisuljin;13.0;5.2;4;;;;80.0;vakiovalikoima;7350084980013
951667;Raza Selection Malbec Shiraz Organic 2017;La Riojana;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2017;Famatina Valley;Reilu kauppa;Malbec, Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, taatelinen, neilikkainen;pullo;synteettinen korkki;13.0;4.9;7;;;;80.0;vakiovalikoima;7790265060835
440567;Alamos Malbec Organic 2021;Alamos;0,75 l;11.99;15.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mustikkainen, karhunvatukkainen, kevyen kukkainen;pullo;metallinen kierrekapseli;13.5;5.2;2;;;;80.0;vakiovalikoima;7794450004871
939055;Altos Las Hormigas Clásico Malbec 2020;Altos Las Hormigas;0,75 l;19.49;25.99;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen;pullo;luonnonkorkki;13.5;5.5;2;;;;80.0;tilausvalikoima;7798051950032
936741;Altos Las Hormigas Terroir Luján de Cuyo 2017;Altos Las Hormigas;0,75 l;19.99;26.65;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, mausteinen;pullo;luonnonkorkki;13.5;4.7;2;;;;80.0;tilausvalikoima;7798051950780
945913;Altos Las Hormigas Terroir Malbec 2018;Altos Las Hormigas;0,75 l;22.98;30.64;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2018;Uco Valley, Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen;pullo;luonnonkorkki;13.5;5.5;2;;;;80.0;tilausvalikoima;7798051950025
466727;Aqui Oaked Special Selection Syrah 2021;Antigal;0,75 l;18.97;25.16;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2021;Valle de Uco;Saattaa sisältää sakkaa;Syrah, Petit Verdot, ;Täyteläinen, tanniininen, mustaherukkainen, karhunvatukkainen, tumman kirsikkainen, kevyen kaakaoinen, mausteinen, tamminen;pullo;luonnonkorkki;14.5;5.3;3;;;;80.0;erikoiserä;7798115618106
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2014;Mendoza;;Cabernet Franc, ;Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen;pullo;luonnonkorkki;14.0;5.1;4;;;;80.0;tilausvalikoima;7798130462425
924067;Beefsteak Club Malbec 2022;E. I. Wines;0,75 l;13.98;18.51;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen;pullo;metallinen kierrekapseli;13.0;5.2;3;;;;70.0;tilausvalikoima;5011932012325
