Alkon hinnasto 23.09.2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
945096;Adrianna Vineyard Fortuna Terrae Malbec 2015;Catena Zapata;0,75 l;84.99;113.32;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Malbec, ;Täyteläinen, tanniininen, karhunvatukkainen, mausteinen, aromikas;pullo;luonnonkorkki;14.0;5.6;2;;;;80.0;tilausvalikoima;7794450005274
935635;Adrianna Vineyard River Stones Malbec 2016;Catena Zapata;0,75 l;125.00;166.67;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;;Malbec, ;Täyteläinen, tanniininen, boysenmarjainen, mustikkainen, vadelmainen;pullo;luonnonkorkki;13.5;5.0;2;;;;80.0;tilausvalikoima;7794450005304
440567;Alamos Malbec 2019;Alamos;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, luumuhilloinen, kypsän karpaloinen, hennon kukkainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.1;;;;;80.0;vakiovalikoima;7794450008084
424107;Alamos Tempranillo 2016;Alamos;0,75 l;11.49;15.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;;Tempranillo, ;Täyteläinen, keskitanniininen, karhunvatukkainen, karpaloinen, maitosuklainen, hennon kanelinen;pullo;metallinen kierrekapseli;12.5;4.5;;;;;70.0;vakiovalikoima;7794450092410
921767;Argento Organic Malbec Reserva 2015;Bodega Argento;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2015;Uco Valley;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen;pullo;luonnonkorkki;14.0;4.9;;;;;80.0;vakiovalikoima;7798130462548
402217;Argento Paraje Altamira Organic Malbec 2014;Bodega Argento;0,75 l;30.27;40.36;;110;punaviinit;Roteva & Voimakas;luomu;;Argentiina;Mendoza;2014;Valle de Uco;;Malbec, ;Täyteläinen, tanniininen, tumman kirsikkainen, karhunvatukkainen, viikunainen, kevyen orvokkinen, mausteinen, tyylikäs, tasapainoinen;pullo;luonnonkorkki;14.0;4.6;;;;;80.0;erikoiserä;7798130462692
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2014;Mendoza;;Cabernet Franc, ;Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen;pullo;luonnonkorkki;14.0;5.1;4;;;;80.0;tilausvalikoima;7798130462425
451687;Argento Seleccion Malbec 2018;Argento Wine Company;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, metsämansikkainen, kevyen mausteinen;pullo;metallinen kierrekapseli;13.5;5.1;3;;;;80.0;vakiovalikoima;7798159560270
924067;Beefsteak Club Malbec 2019;E. I. Wines;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.2;3;;;;80.0;tilausvalikoima;5011932012325
903027;Beefsteak Club Reserve Malbec 2015;Andean Vineyards;0,75 l;24.98;33.31;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Uco Valley;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen;pullo;luonnonkorkki;14.5;5.1;3;;;;80.0;tilausvalikoima;5011932012431
454597;BenMarco Expresivo 2017;Dominio del Plata;0,75 l;28.98;38.51;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2017;Valle de Uco;;Malbec, Cabernet Franc, Cabernet Sauvignon, ;Täyteläinen, tanniininen, herukkainen, viikunainen, boysenmarjainen, luumuinen, kevyen suklainen, tamminen;pullo;luonnonkorkki;14.5;5.9;;;;;80.0;vakiovalikoima;7798068481062
954657;Bodega Piedra Negra Malbec Alta Coleccion 2018;Bodega Piedra Negra;0,75 l;12.90;17.07;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Täyteläinen, tanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;14.0;3.2;;;;;80.0;tilausvalikoima;3480042302008
430097;Bodega Piedra Negra Merlot Reserve 2015;Bodega Piedra Negra;0,75 l;13.49;17.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Valle de Uco;;Merlot, ;Täyteläinen, tanniininen, herukkahilloinen, tumman luumuinen, mausteinen, hennon mokkainen, tamminen;pullo;metallinen kierrekapseli;14.5;5.0;2;;;;80.0;vakiovalikoima;3480041532314
004551;Caballo de Mendoza;Altia;0,75 l;7.34;9.65;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;;Mendoza;;Cabernet, Sangiovese, Malbec, ;Keskitäyteläinen, keskitanniininen, kevyen kirsikkainen, mansikkainen, mausteinen;pullo;metallinen kierrekapseli;14.0;4.7;;;;;80.0;vakiovalikoima;6412700455150
487307;Cameleon Organic Cabernet Sauvignon 2019;Domaine Bousquet;0,75 l;11.49;15.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Tupungato;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, herukkainen, kirsikkainen, karhunvatukkainen, kevyen kaakaoinen, paahteinen;pullo;metallinen kierrekapseli;14.0;5.3;2;;;;80.0;vakiovalikoima;7798101650585
930018;Catena Alta Cabernet Sauvignon 2009;Catena Zapata;0,75 l;39.98;53.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2009;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen;pullo;luonnonkorkki;14.0;4.9;4;;;;80.0;tilausvalikoima;7794450008220
438717;Catena Cabernet Sauvignon 2015;Catena Zapata;0,75 l;15.99;21.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, Cabernet Franc, Petit Verdot, ;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, mustaoliivinen, mustapippurinen, hennon nahkainen;pullo;luonnonkorkki;13.0;4.6;1;;;;70.0;vakiovalikoima;7794450002570
906487;Catena Malbec 2017;Bodega Catena Zapata;0,75 l;18.72;24.96;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, tanniininen, marjainen, mausteinen;pullo;luonnonkorkki;13.5;5.3;2;;;;80.0;tilausvalikoima;7794450008053
496077;Chakana Nuna Tetrada 2019;Chakana;0,75 l;15.99;21.19;uutuus;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;IG Agrelo;Sisältää sakkaa;Tannat, Cabernet Franc, Malbec, Petit Verdot, ;Täyteläinen, tanniininen, karhunvatukkainen, luumuinen, tumman kirsikkainen, kevyen oliivinen, mustapippurinen, tamminen;pullo;luonnonkorkki;14.0;6.2;2;;;;80.0;erikoiserä;7798108621250
480037;Chakana Nuna Vineyard Cabernet Franc 2018;Proviva;0,75 l;14.50;19.2;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Luján de Cuyo;;Cabernet Franc, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen;pullo;luonnonkorkki;14.0;4.4;5;;;;80.0;vakiovalikoima;7798108621151
410098;Chill Out Malbec Argentina 2018 muovipullo;Altia;1 l;12.98;12.58;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, kevyen mausteinen;muovipullo;muovisuljin;13.0;4.6;;;;;70.0;vakiovalikoima;6412703011599
923877;Comuna Malbec 2017;Bodega Argento;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, puolukkainen, mausteinen, hennon kukkainen;pullo;metallinen kierrekapseli;12.5;5.2;4;;;;70.0;vakiovalikoima;7798130462814
448847;Domaine Bousquet Ameri Single Vineyard 2015;Domaine Bousquet;0,75 l;32.90;43.73;;110;punaviinit;Roteva & Voimakas;luomu;;Argentiina;Mendoza;2015;Tupungato;;Malbec, Cabernet Sauvignon, Syrah, Merlot, ;Täyteläinen, tanniininen, tumman kirsikkainen, karpaloinen, tummasuklainen, mustapippurinen, tamminen, tasapainoinen;pullo;luonnonkorkki;14.5;5.3;1;;;;80.0;vakiovalikoima;7798101652176
422587;Domaine Bousquet Gaia Organic 2017;Domaine Bousquet;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Tupungato;;Malbec, Syrah, Cabernet Sauvignon, ;Täyteläinen, tanniininen, tumman kirsikkainen, mustaherukkahilloinen, kevyen luumuinen, mausteinen, tamminen, lämmin;pullo;luonnonkorkki;14.5;5.1;;;;;80.0;vakiovalikoima;7798101652213
945477;Domaine Bousquet Malbec Organic 2019;Domaine Bousquet;0,75 l;11.70;15.47;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2019;Tupungato Valley;;Malbec, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, mustikkainen, punaherukkainen, hennon oliivinen;pullo;metallinen kierrekapseli;14.0;5.2;;;;;80.0;vakiovalikoima;7798101650011
450517;Domaine Bousquet Reserve Organic Malbec 2018;Domaine Bousquet;0,75 l;15.99;21.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Tupungato;;Malbec, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän mustaherukkainen, pensasmustikkainen, neilikkainen, tamminen, lämmin;pullo;luonnonkorkki;14.5;5.5;2;;;;80.0;vakiovalikoima;7798101650431
928127;Domaine Bousquet Reserve Organic Pinot Noir 2017;Domaine Bousquet;0,75 l;14.98;19.84;;110;punaviinit;Marjaisa & Raikas;;;Argentiina;Mendoza;2017;;;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, marjainen;pullo;luonnonkorkki;14.5;4.8;3;;;;80.0;tilausvalikoima;7798101651506
